PUTRA,DEWASA,D,ZAENIKO SAPUTRA,TUREN
PUTRA,DEWASA,D,MOCHAMAD AINUR FIRMANSYAH,UNIVERSITAS NEGERI MALANG
PUTRA,DEWASA,D,M. FIBRIYANTO ,UNIVERSITAS NEGERI MALANG 
PUTRA,DEWASA,D,M. ASYRAF SIM HONI,RANTING BLIMBING
PUTRA,DEWASA,E,ARIZONA PERMATA PUTRA,KOMISARIAT  502 
PUTRA,DEWASA,E,MOCH. RIZAL JABARUDDIN,KOMISARIAT ITN
PUTRA,DEWASA,E,RIO FERNANDO RAIKI,KOMISARIAT PSHT UB
PUTRA,DEWASA,E,DAVID PRASETYO,KOMISARIAT PSHT UMM
PUTRA,DEWASA,E,MOH. MAFTUHUN NI'AM,UNIVERSITAS NEGERI MALANG 
PUTRA,DEWASA,E,RENDI BUANA ULUNG,LOWOKWARU
PUTRA,DEWASA,E,SHAHID ADETHA SURYA,POLBANGTAN MALANG
PUTRA,DEWASA,E,SURYA DHARMA PRASETYA,RANTING SUKUN
PUTRA,DEWASA,E,ARIF NURKHOLIK,SASANA COBRA YONKES 2
PUTRA,DEWASA,E,MIFTAKHUL HUDA ,UNIVERSITAS NEGERI MALANG 
PUTRA,DEWASA,E,SAMUEL UMBU LADO,UNITRI
PUTRA,DEWASA,E,AGUNG BUDI WIJAYA ,SASANA COBRA YONKES 2
PUTRA,DEWASA,F,JEFRY BENEFITO SIRAIT ,KOMISARIAT UNIVERSITAS BRAWIJAYA 
PUTRA,DEWASA,F,AQSHAL ALLFA RIZKYANTO,SASANA COBRA YONKES 2 
PUTRA,DEWASA,F,NOBERTUS ATRIS SOLO,UNITRI
PUTRA,DEWASA,F,M. DENI,SMKN 6 MALANG
PUTRA,DEWASA,G,AKA MAHARDIKA,BUMIAJI
PUTRA,DEWASA,G,FAJAR CHIESA WANGDEN,UNIVERSITAS NEGERI MALANG
PUTRA,DEWASA,G,JASEN REZA ADITYA RAHMANA PUTRA,SMKN 6 MALANG
PUTRA,DEWASA,H,TRIO MUHAMAD KHOLIK,RANTING BANTUR
PUTRA,DEWASA,H,M BIMA SATRIA,UNMER
PUTRA,DEWASA,J,TAUFIK HIDAYAT,KOMISARIAT PSHT UMM
PUTRI,REMAJA,A,FARIDATUZ ZAHRA,PAKISAJI
PUTRA,REMAJA,A,M. SYUKRON ALIF,KOMISARIAT  502 
PUTRI,REMAJA,A,JENAR PENGGALIH WANGI,NONGKOJAJAR
PUTRI,REMAJA,A,KHOIRIYATUN NISA,PG KREBET BARU BULULAWANG
PUTRA,REMAJA,A,SATRIO BAGUS PRATAMA,RANTING BANTUR
PUTRA,REMAJA,A,MUHAMMAD ADHI PRATAMA,SMPN 13 KOTA MALANG
PUTRI,REMAJA,A,ALMIRA BELVA DARMANTO PUTRI,TUREN
PUTRA,REMAJA,A,ATTA' VILLA ARSHAFIN ,TUREN
PUTRA,REMAJA,A,ADITYA PUTRA MAHARDIKA,TUREN
PUTRI,REMAJA,A,NANDA ARUM PRAMESWARI,TUREN
PUTRI,REMAJA,A,RIZQI ALVIA,TUREN
PUTRA,REMAJA,B,MOCHAMAD ARIYA,PAKISAJI
PUTRA,REMAJA,B,GENTA YUNANDA,PAKISAJI
PUTRI,REMAJA,B,NIMAS BENING OKTA VIA FITRI,BUMIAJI
PUTRI,REMAJA,B,IMROTUL HASANAH,KOMISARIAT  502 
PUTRI,REMAJA,B,IKA KRISNA DEWI . S,PG KREBET BARU BULULAWANG
PUTRA,REMAJA,B,WAHID SABILILAH,RANTING BANTUR
PUTRI,REMAJA,B,ALDYA NAJWA SAFIYA FITRATUZZAHRA,SASANA COBRA YONKES 2
PUTRA,REMAJA,B,ALDO PANDUFIRANGGA,SMK BINA BANGSA DAMPIT
PUTRI,REMAJA,B,FITRIA NATANIA,TUREN
PUTRI,REMAJA,B,ANGEL AGUSTIN RAHAYU ,TUREN
PUTRA,REMAJA,B,MOHAMMAD RISKI MARTA BIMANTARA,TUREN
PUTRA,REMAJA,B,MUHAMMAD FARREL ANDHIKA ,TUREN
PUTRI,REMAJA,B,BEMBY EVRALUNA ACHMAD MICHELLE,TUREN
PUTRI,REMAJA,B,SETYOWATI SA'DIYAH,RANTING BLIMBING
PUTRA,REMAJA,C,ALFIAN DAFA FEBRIYANSYAH,AMADANOM-DAMPIT
PUTRA,REMAJA,C,ALDI SETYAWAN,PAKISAJI
PUTRA,REMAJA,C,ALHASBI PUTRA MAULANA,PAKISAJI
PUTRI,REMAJA,C,ROSALINA AYUSTIA ERFANI PUTRI ,SASANA COBRA YONKES 2
PUTRA,REMAJA,C,RANGGA AJI SAPUTRA,PG KREBET BARU BULULAWANG
PUTRA,REMAJA,C,M. MAHFUD DJAUHARI,PG KREBET BARU BULULAWANG
PUTRI,REMAJA,C,SITI RAMA WATI,RANTING BANTUR
PUTRA,REMAJA,C,MICO ALVITO ARDIANSYAH,SMK BINA BANGSA DAMPIT
PUTRA,REMAJA,C,MUCHAMAD HAFIDZ HIDAYATUN NIZAR,SUMAWE
PUTRI,REMAJA,C,DHEA FRISCHA ERTA YUWANDA,TUREN
PUTRA,REMAJA,C,ARMY RIZKI ARDIANSYAH,TUREN
PUTRI,REMAJA,C,MARSA HERAVIA LESTARI,TUREN
PUTRA,REMAJA,C,PANDU PRATAMA YUDHA PUTRA ,TUREN
PUTRA,REMAJA,C,RIVAL PASHA PRADANA,TUREN
PUTRA,REMAJA,C,ABDILLAH NAAYIF AZ ZUFAR,RANTING BLIMBING
PUTRI,REMAJA,C,INTAN MAULIDINA,RANTING BLIMBING
PUTRA,REMAJA,D,MUHAMAD RIZKI RAMADAN,LOWOKWARU
PUTRA,REMAJA,D,MAULIDAN KUSUMA A. Z,PG KREBET BARU BULULAWANG
PUTRA,REMAJA,D,SYAFFARIZAL DARMA ZULKARNAIN,RANTING SUKUN
PUTRA,REMAJA,D,ARYA ARDIYANTO,SMPN 13 KOTA MALANG
PUTRA,REMAJA,D,RIKI ADI CAHYONO,TIRTOYUDO 
PUTRI,REMAJA,D,SYAFIRA IRVANIARA ISMAIL,TUREN
PUTRA,REMAJA,D,SYARIF HIDAYATULLAH,RANTING BLIMBING
PUTRA,REMAJA,E,FARHAN DUWI HANGGANA,LOWOKWARU
PUTRA,REMAJA,E,PADHANG RAMADHAN,PG KREBET BARU BULULAWANG
PUTRA,REMAJA,E,GEITZA EVAN NAVILA,PG KREBET BARU BULULAWANG
PUTRI,REMAJA,E,MARDIYANA SAFITRI,RANTING SUKUN
PUTRA,REMAJA,E,RAFIF ACHMAD RAIHAN,RANTING SUKUN
PUTRA,REMAJA,E,RENDIS NOVI ,SMP PGRI 02 WONOSARI 
PUTRA,REMAJA,E,DIDIT MOCHAMAD SAPUTRA ,SMP PGRI 02 WONOSARI 
PUTRA,REMAJA,E,MUHAMMAD MASFUK ZUHDI ALFAIS,TUMPANG
PUTRI,REMAJA,E,GISELLA AVGRECHZYA SEFYANA,TUREN
PUTRA,REMAJA,E,ACHMAD BAGUS PRAYOGI,TUREN
PUTRI,REMAJA,E,ASKA NAFISA MAULIDIYAH,RANTING BLIMBING
PUTRA,REMAJA,F,FRANS JOS YORDAN ,RANTAI SUKUN
PUTRA,REMAJA,F,DAMAR ALAMSYAH,SMK BINA BANGSA DAMPIT
PUTRA,REMAJA,F,DAVA ERLANGGA,SUMAWE
PUTRA,REMAJA,G,M. ZAINURI WAHYUDIANTO M.,PG KREBET BARU BULULAWANG
PUTRI,REMAJA,G,AMANDA KIRANA SUHAIDI,TUREN
PUTRI,REMAJA,G,IZZA ARDILLA RAMADANI P.,TUREN
PUTRA,REMAJA,H,DIMAS JUAN ANGGARA,PAKISAJI
PUTRA,REMAJA,J,MUHAMMAD ALIF,TUREN
